Year,Sex,Age Group,Population Category/Ethnic,Population ('000)
2002,Total,50-54,Chinese,325.6
2002,Total,55-59,Chinese,251.2
2002,Total,60-64,Chinese,196.8
2002,Total,65-69,Chinese,145.2
2002,Total,70-74,Chinese,97.3
2002,Total,75-79,Chinese,55
2002,Total,80+,Chinese,55.6
2002,Total,Total,Chinese,5923.1
2002,Male,00-04,Chinese,276.6
2002,Male,05-09,Chinese,272.7
2002,Male,10-14,Chinese,270.1
2002,Male,15-19,Chinese,265.4
2002,Male,20-24,Chinese,249.6
2002,Male,25-29,Chinese,236.1
2002,Male,30-34,Chinese,234.5
2002,Male,35-39,Chinese,232
2002,Male,40-44,Chinese,224.3
2002,Male,45-49,Chinese,205.8
2002,Male,50-54,Chinese,170.8
2002,Male,55-59,Chinese,133.1
2002,Male,60-64,Chinese,102.4
2002,Male,65-69,Chinese,72.8
2002,Male,70-74,Chinese,46.1
2002,Male,75-79,Chinese,24.1
2002,Male,80+,Chinese,21.5
2002,Male,Total,Chinese,3038.1
2002,Female,00-04,Chinese,259.5
2002,Female,05-09,Chinese,250.8
2002,Female,10-14,Chinese,252.5
2002,Female,15-19,Chinese,252.3
2002,Female,20-24,Chinese,237.1
2002,Female,25-29,Chinese,225.1
2002,Female,30-34,Chinese,227.7
2002,Female,35-39,Chinese,223.4
2002,Female,40-44,Chinese,210.4
2002,Female,45-49,Chinese,190.3
2002,Female,50-54,Chinese,154.8
2002,Female,55-59,Chinese,118.1
2002,Female,60-64,Chinese,94.4
2002,Female,65-69,Chinese,72.4
2002,Female,70-74,Chinese,51.2
2002,Female,75-79,Chinese,30.9
2002,Female,80+,Chinese,34.1
2002,Female,Total,Chinese,2885
2003,Total,00-04,Chinese,521.5
2003,Total,05-09,Chinese,528.1
2003,Total,10-14,Chinese,524.9
2003,Total,15-19,Chinese,522.4
2003,Total,20-24,Chinese,497.3
2003,Total,25-29,Chinese,465.1
2003,Total,30-34,Chinese,461.4
2003,Total,35-39,Chinese,459
2003,Total,40-44,Chinese,437.7
2003,Total,45-49,Chinese,402.2
2003,Total,50-54,Chinese,338.7
2003,Total,55-59,Chinese,262.5
2003,Total,60-64,Chinese,202.3
2003,Total,65-69,Chinese,152.8
2003,Total,70-74,Chinese,101.1
2003,Total,75-79,Chinese,60.1
2003,Total,80+,Chinese,57.3
2003,Total,Total,Chinese,5994.3
2003,Male,00-04,Chinese,269.1
2003,Male,05-09,Chinese,274.3
2003,Male,10-14,Chinese,271.6
2003,Male,15-19,Chinese,267.3
2003,Male,20-24,Chinese,255
2003,Male,25-29,Chinese,238.9
2003,Male,30-34,Chinese,234.8
2003,Male,35-39,Chinese,233.5
2003,Male,40-44,Chinese,226.4
2003,Male,45-49,Chinese,209.2
2003,Male,50-54,Chinese,177.3
2003,Male,55-59,Chinese,138.8
2003,Male,60-64,Chinese,106.1
2003,Male,65-69,Chinese,77.3
2003,Male,70-74,Chinese,48.5
2003,Male,75-79,Chinese,26.7
2003,Male,80+,Chinese,22.3
2003,Male,Total,Chinese,3077.2
2003,Female,00-04,Chinese,252.4
2003,Female,05-09,Chinese,253.9
2003,Female,10-14,Chinese,253.2
2003,Female,15-19,Chinese,255.1
2003,Female,20-24,Chinese,242.2
2003,Female,25-29,Chinese,226.1
2003,Female,30-34,Chinese,226.5
2003,Female,35-39,Chinese,225.4
2003,Female,40-44,Chinese,211.3
2003,Female,45-49,Chinese,193
2003,Female,50-54,Chinese,161.5
2003,Female,55-59,Chinese,123.6
2003,Female,60-64,Chinese,96.2
2003,Female,65-69,Chinese,75.5
2003,Female,70-74,Chinese,52.6
2003,Female,75-79,Chinese,33.4
2003,Female,80+,Chinese,35
2003,Female,Total,Chinese,2917.1
2004,Total,00-04,Chinese,503.7
2004,Total,05-09,Chinese,532
2004,Total,10-14,Chinese,528.3
2004,Total,15-19,Chinese,525.4
2004,Total,20-24,Chinese,508
2004,Total,25-29,Chinese,470.2
2004,Total,30-34,Chinese,461.3
2004,Total,35-39,Chinese,461.7
2004,Total,40-44,Chinese,441.1
2004,Total,45-49,Chinese,407.9
2004,Total,50-54,Chinese,349.3
2004,Total,55-59,Chinese,275.6
2004,Total,60-64,Chinese,207.6
2004,Total,65-69,Chinese,160.7
2004,Total,70-74,Chinese,104.7
2004,Total,75-79,Chinese,65
2004,Total,80+,Chinese,59
2004,Total,Total,Chinese,6061.5
2004,Male,00-04,Chinese,259.4
2004,Male,05-09,Chinese,275.2
2004,Male,10-14,Chinese,273.7
2004,Male,15-19,Chinese,268.4
2004,Male,20-24,Chinese,260.1
2004,Male,25-29,Chinese,242.3
2004,Male,30-34,Chinese,235.9
2004,Male,35-39,Chinese,234.4
2004,Male,40-44,Chinese,228.8
2004,Male,45-49,Chinese,212.5
2004,Male,50-54,Chinese,182.6
2004,Male,55-59,Chinese,145.4
2004,Male,60-64,Chinese,109.6
2004,Male,65-69,Chinese,82
2004,Male,70-74,Chinese,50.9
2004,Male,75-79,Chinese,29.1
2004,Male,80+,Chinese,23.3
2004,Male,Total,Chinese,3113.5
2004,Female,00-04,Chinese,244.3
2004,Female,05-09,Chinese,256.8
2004,Female,10-14,Chinese,254.5
2004,Female,15-19,Chinese,257
2004,Female,20-24,Chinese,247.9
2004,Female,25-29,Chinese,227.9
2004,Female,30-34,Chinese,225.4
2004,Female,35-39,Chinese,227.3
2004,Female,40-44,Chinese,212.3
2004,Female,45-49,Chinese,195.4
2004,Female,50-54,Chinese,166.7
2004,Female,55-59,Chinese,130.2
2004,Female,60-64,Chinese,98.1
2004,Female,65-69,Chinese,78.6
2004,Female,70-74,Chinese,53.9
2004,Female,75-79,Chinese,35.9
2004,Female,80+,Chinese,35.8
2004,Female,Total,Chinese,2948
2005,Total,00-04,Chinese,485.4
2005,Total,05-09,Chinese,534.6
2005,Total,10-14,Chinese,531.9
2005,Total,15-19,Chinese,527.9
2005,Total,20-24,Chinese,517.3
2005,Total,25-29,Chinese,476.9
2005,Total,30-34,Chinese,462.5
2005,Total,35-39,Chinese,463.5
2005,Total,40-44,Chinese,445.1
2005,Total,45-49,Chinese,413.6
2005,Total,50-54,Chinese,357.8
2005,Total,55-59,Chinese,289.2
2005,Total,60-64,Chinese,214.1
2005,Total,65-69,Chinese,167.7
2005,Total,70-74,Chinese,109.5
2005,Total,75-79,Chinese,69.2
2005,Total,80+,Chinese,61.1
2005,Total,Total,Chinese,6127.3
2005,Male,00-04,Chinese,250.3
2005,Male,05-09,Chinese,275.4
2005,Male,10-14,Chinese,275.7
2005,Male,15-19,Chinese,269.4
2005,Male,20-24,Chinese,264.2
2005,Male,25-29,Chinese,246.3
2005,Male,30-34,Chinese,237.7
2005,Male,35-39,Chinese,234.9
2005,Male,40-44,Chinese,231.2
2005,Male,45-49,Chinese,215.9
2005,Male,50-54,Chinese,187
2005,Male,55-59,Chinese,152.2
2005,Male,60-64,Chinese,113.2
2005,Male,65-69,Chinese,86.4
2005,Male,70-74,Chinese,53.9
2005,Male,75-79,Chinese,31.3
2005,Male,80+,Chinese,24.4
2005,Male,Total,Chinese,3149.5
2005,Female,00-04,Chinese,235.1
2005,Female,05-09,Chinese,259.1
2005,Female,10-14,Chinese,256.1
2005,Female,15-19,Chinese,258.5
2005,Female,20-24,Chinese,253.1
2005,Female,25-29,Chinese,230.6
2005,Female,30-34,Chinese,224.9
2005,Female,35-39,Chinese,228.6
2005,Female,40-44,Chinese,213.9
2005,Female,45-49,Chinese,197.7
2005,Female,50-54,Chinese,170.8
2005,Female,55-59,Chinese,137.1
2005,Female,60-64,Chinese,100.9
2005,Female,65-69,Chinese,81.3
2005,Female,70-74,Chinese,55.6
2005,Female,75-79,Chinese,37.9
2005,Female,80+,Chinese,36.7
2005,Female,Total,Chinese,2977.9
2006,Total,00-04,Chinese,468.2
2006,Total,05-09,Chinese,533.3
2006,Total,10-14,Chinese,534.7
2006,Total,15-19,Chinese,530.7
2006,Total,20-24,Chinese,524.8
2006,Total,25-29,Chinese,485.6
2006,Total,30-34,Chinese,464.7
2006,Total,35-39,Chinese,464.4
2006,Total,40-44,Chinese,449.2
2006,Total,45-49,Chinese,419.1
2006,Total,50-54,Chinese,365.3
2006,Total,55-59,Chinese,302.1
2006,Total,60-64,Chinese,223
2006,Total,65-69,Chinese,174
2006,Total,70-74,Chinese,115.2
2006,Total,75-79,Chinese,72.5
2006,Total,80+,Chinese,64.5
2006,Total,Total,Chinese,6191.4
2006,Male,00-04,Chinese,241.4
2006,Male,05-09,Chinese,274.2
2006,Male,10-14,Chinese,277.1
2006,Male,15-19,Chinese,270.9
2006,Male,20-24,Chinese,267.2
2006,Male,25-29,Chinese,250.8
2006,Male,30-34,Chinese,240
2006,Male,35-39,Chinese,235.3
2006,Male,40-44,Chinese,233.2
2006,Male,45-49,Chinese,219.4
2006,Male,50-54,Chinese,191.1
2006,Male,55-59,Chinese,158.5
2006,Male,60-64,Chinese,118
2006,Male,65-69,Chinese,90.4
2006,Male,70-74,Chinese,57.4
2006,Male,75-79,Chinese,33.2
2006,Male,80+,Chinese,26.1
2006,Male,Total,Chinese,3184.3
2006,Female,00-04,Chinese,226.9
2006,Female,05-09,Chinese,259.1
2006,Female,10-14,Chinese,257.7
2006,Female,15-19,Chinese,259.8
2006,Female,20-24,Chinese,257.6
2006,Female,25-29,Chinese,234.8
2006,Female,30-34,Chinese,224.7
2006,Female,35-39,Chinese,229
2006,Female,40-44,Chinese,216.1
2006,Female,45-49,Chinese,199.6
2006,Female,50-54,Chinese,174.2
2006,Female,55-59,Chinese,143.5
2006,Female,60-64,Chinese,105.1
2006,Female,65-69,Chinese,83.6
2006,Female,70-74,Chinese,57.8
2006,Female,75-79,Chinese,39.3
2006,Female,80+,Chinese,38.4
2006,Female,Total,Chinese,3007.1
2007,Total,00-04,Chinese,458.9
2007,Total,05-09,Chinese,523.8
2007,Total,10-14,Chinese,535.7
2007,Total,15-19,Chinese,534.9
2007,Total,20-24,Chinese,529.5
2007,Total,25-29,Chinese,496.8
2007,Total,30-34,Chinese,467.5
2007,Total,35-39,Chinese,464.8
2007,Total,40-44,Chinese,453.6
2007,Total,45-49,Chinese,424.3
2007,Total,50-54,Chinese,372.7
2007,Total,55-59,Chinese,312.5
2007,Total,60-64,Chinese,235
2007,Total,65-69,Chinese,178.1
2007,Total,70-74,Chinese,122.9
2007,Total,75-79,Chinese,74.5
2007,Total,80+,Chinese,68
2007,Total,Total,Chinese,6253.6
2007,Male,00-04,Chinese,236.8
2007,Male,05-09,Chinese,269.3
2007,Male,10-14,Chinese,277
2007,Male,15-19,Chinese,273.5
2007,Male,20-24,Chinese,268.7
2007,Male,25-29,Chinese,256.1
2007,Male,30-34,Chinese,242.6
2007,Male,35-39,Chinese,236.4
2007,Male,40-44,Chinese,234.4
2007,Male,45-49,Chinese,223.1
2007,Male,50-54,Chinese,195.3
2007,Male,55-59,Chinese,163.7
2007,Male,60-64,Chinese,124.1
2007,Male,65-69,Chinese,93.2
2007,Male,70-74,Chinese,62
2007,Male,75-79,Chinese,34.6
2007,Male,80+,Chinese,27.9
2007,Male,Total,Chinese,3218.6
2007,Female,00-04,Chinese,222.1
2007,Female,05-09,Chinese,254.5
2007,Female,10-14,Chinese,258.7
2007,Female,15-19,Chinese,261.4
2007,Female,20-24,Chinese,260.9
2007,Female,25-29,Chinese,240.7
2007,Female,30-34,Chinese,224.9
2007,Female,35-39,Chinese,228.5
2007,Female,40-44,Chinese,219.2
2007,Female,45-49,Chinese,201.2
2007,Female,50-54,Chinese,177.4
2007,Female,55-59,Chinese,148.8
2007,Female,60-64,Chinese,111
2007,Female,65-69,Chinese,84.9
2007,Female,70-74,Chinese,60.9
2007,Female,75-79,Chinese,39.9
2007,Female,80+,Chinese,40.1
2007,Female,Total,Chinese,3034.9
2008,Total,00-04,Chinese,450.9
2008,Total,05-09,Chinese,514
2008,Total,10-14,Chinese,534
2008,Total,15-19,Chinese,540.5
2008,Total,20-24,Chinese,531.7
2008,Total,25-29,Chinese,509.6
2008,Total,30-34,Chinese,471
2008,Total,35-39,Chinese,465.3
2008,Total,40-44,Chinese,457.5
2008,Total,45-49,Chinese,429.5
2008,Total,50-54,Chinese,380.5
2008,Total,55-59,Chinese,320.2
2008,Total,60-64,Chinese,249.8
2008,Total,65-69,Chinese,180.6
2008,Total,70-74,Chinese,132.2
2008,Total,75-79,Chinese,75.7
2008,Total,80+,Chinese,71.7
2008,Total,Total,Chinese,6314.7
2008,Male,00-04,Chinese,232.7
2008,Male,05-09,Chinese,264.4
2008,Male,10-14,Chinese,275.2
2008,Male,15-19,Chinese,277.1
2008,Male,20-24,Chinese,268.9
2008,Male,25-29,Chinese,261.6
2008,Male,30-34,Chinese,245.3
2008,Male,35-39,Chinese,238.1
2008,Male,40-44,Chinese,234.7
2008,Male,45-49,Chinese,227
2008,Male,50-54,Chinese,199.8
2008,Male,55-59,Chinese,167.7
2008,Male,60-64,Chinese,131.4
2008,Male,65-69,Chinese,95
2008,Male,70-74,Chinese,67.4
2008,Male,75-79,Chinese,35.8
2008,Male,80+,Chinese,29.8
2008,Male,Total,Chinese,3252.1
2008,Female,00-04,Chinese,218.2
2008,Female,05-09,Chinese,249.6
2008,Female,10-14,Chinese,258.8
2008,Female,15-19,Chinese,263.4
2008,Female,20-24,Chinese,262.8
2008,Female,25-29,Chinese,248
2008,Female,30-34,Chinese,225.7
2008,Female,35-39,Chinese,227.2
2008,Female,40-44,Chinese,222.8
2008,Female,45-49,Chinese,202.5
2008,Female,50-54,Chinese,180.7
2008,Female,55-59,Chinese,152.5
2008,Female,60-64,Chinese,118.5
2008,Female,65-69,Chinese,85.5
2008,Female,70-74,Chinese,64.8
2008,Female,75-79,Chinese,39.9
2008,Female,80+,Chinese,41.9
2008,Female,Total,Chinese,3062.6
2009,Total,00-04,Chinese,442.7
2009,Total,05-09,Chinese,504.2
2009,Total,10-14,Chinese,529.7
2009,Total,15-19,Chinese,546
2009,Total,20-24,Chinese,533.1
2009,Total,25-29,Chinese,521.9
2009,Total,30-34,Chinese,476.2
2009,Total,35-39,Chinese,466.4
2009,Total,40-44,Chinese,460.6
2009,Total,45-49,Chinese,434.7
2009,Total,50-54,Chinese,388.6
2009,Total,55-59,Chinese,326
2009,Total,60-64,Chinese,265.1
2009,Total,65-69,Chinese,183.7
2009,Total,70-74,Chinese,140.9
2009,Total,75-79,Chinese,77.7
2009,Total,80+,Chinese,75.2
2009,Total,Total,Chinese,6372.6
2009,Male,00-04,Chinese,228.6
2009,Male,05-09,Chinese,259.3
2009,Male,10-14,Chinese,272.2
2009,Male,15-19,Chinese,280.6
2009,Male,20-24,Chinese,269
2009,Male,25-29,Chinese,266.5
2009,Male,30-34,Chinese,248.6
2009,Male,35-39,Chinese,240.5
2009,Male,40-44,Chinese,234.6
2009,Male,45-49,Chinese,230.6
2009,Male,50-54,Chinese,204.6
2009,Male,55-59,Chinese,170.8
2009,Male,60-64,Chinese,138.8
2009,Male,65-69,Chinese,96.9
2009,Male,70-74,Chinese,72.6
2009,Male,75-79,Chinese,37.4
2009,Male,80+,Chinese,31.9
2009,Male,Total,Chinese,3283.4
2009,Female,00-04,Chinese,214.1
2009,Female,05-09,Chinese,244.8
2009,Female,10-14,Chinese,257.6
2009,Female,15-19,Chinese,265.4
2009,Female,20-24,Chinese,264.1
2009,Female,25-29,Chinese,255.5
2009,Female,30-34,Chinese,227.6
2009,Female,35-39,Chinese,225.9
2009,Female,40-44,Chinese,226
2009,Female,45-49,Chinese,204.1
2009,Female,50-54,Chinese,184
2009,Female,55-59,Chinese,155.2
2009,Female,60-64,Chinese,126.3
2009,Female,65-69,Chinese,86.8
2009,Female,70-74,Chinese,68.3
2009,Female,75-79,Chinese,40.2
2009,Female,80+,Chinese,43.2
2009,Female,Total,Chinese,3089.2
2010,Total,00-04,Chinese,432.8
2010,Total,05-09,Chinese,495.9
2010,Total,10-14,Chinese,522.8
2010,Total,15-19,Chinese,549.9
2010,Total,20-24,Chinese,535.8
2010,Total,25-29,Chinese,531.9
2010,Total,30-34,Chinese,483.6
2010,Total,35-39,Chinese,468.4
2010,Total,40-44,Chinese,463
2010,Total,45-49,Chinese,440.2
2010,Total,50-54,Chinese,396.5
2010,Total,55-59,Chinese,331.7
2010,Total,60-64,Chinese,278.6
2010,Total,65-69,Chinese,190
2010,Total,70-74,Chinese,147.5
2010,Total,75-79,Chinese,81.8
2010,Total,80+,Chinese,80.1
2010,Total,Total,Chinese,6430.4
2010,Male,00-04,Chinese,223.2
2010,Male,05-09,Chinese,255.3
2010,Male,10-14,Chinese,268
2010,Male,15-19,Chinese,282.9
2010,Male,20-24,Chinese,270.1
2010,Male,25-29,Chinese,270
2010,Male,30-34,Chinese,252.5
2010,Male,35-39,Chinese,243.2
2010,Male,40-44,Chinese,234.8
2010,Male,45-49,Chinese,233.6
2010,Male,50-54,Chinese,209.6
2010,Male,55-59,Chinese,174
2010,Male,60-64,Chinese,145.4
2010,Male,65-69,Chinese,100.1
2010,Male,70-74,Chinese,76.5
2010,Male,75-79,Chinese,40.3
2010,Male,80+,Chinese,34.6
2010,Male,Total,Chinese,3313.9
2010,Female,00-04,Chinese,209.6
2010,Female,05-09,Chinese,240.7
2010,Female,10-14,Chinese,254.8
2010,Female,15-19,Chinese,267
2010,Female,20-24,Chinese,265.7
2010,Female,25-29,Chinese,261.8
2010,Female,30-34,Chinese,231.1
2010,Female,35-39,Chinese,225.2
2010,Female,40-44,Chinese,228.2
2010,Female,45-49,Chinese,206.6
2010,Female,50-54,Chinese,186.9
2010,Female,55-59,Chinese,157.7
2010,Female,60-64,Chinese,133.2
2010,Female,65-69,Chinese,89.8
2010,Female,70-74,Chinese,70.9
2010,Female,75-79,Chinese,41.6
2010,Female,80+,Chinese,45.6
2010,Female,Total,Chinese,3116.4
2011,Total,00-04,Chinese,417.1
2011,Total,05-09,Chinese,479.8
2011,Total,10-14,Chinese,521.7
2011,Total,15-19,Chinese,547.8
2011,Total,20-24,Chinese,537.8
2011,Total,25-29,Chinese,535.8
2011,Total,30-34,Chinese,491
2011,Total,35-39,Chinese,468.9
2011,Total,40-44,Chinese,464.4
2011,Total,45-49,Chinese,445.4
2011,Total,50-54,Chinese,405.5
2011,Total,55-59,Chinese,341.4
2011,Total,60-64,Chinese,289
2011,Total,65-69,Chinese,201.5
2011,Total,70-74,Chinese,152.8
2011,Total,75-79,Chinese,88.4
2011,Total,80+,Chinese,83
2011,Total,Total,Chinese,6471.1
2011,Male,00-04,Chinese,215.9
2011,Male,05-09,Chinese,247.1
2011,Male,10-14,Chinese,267.2
2011,Male,15-19,Chinese,282.2
2011,Male,20-24,Chinese,271.9
2011,Male,25-29,Chinese,271
2011,Male,30-34,Chinese,255.3
2011,Male,35-39,Chinese,244.5
2011,Male,40-44,Chinese,235.2
2011,Male,45-49,Chinese,234.5
2011,Male,50-54,Chinese,214.5
2011,Male,55-59,Chinese,179
2011,Male,60-64,Chinese,150.4
2011,Male,65-69,Chinese,105.6
2011,Male,70-74,Chinese,79.2
2011,Male,75-79,Chinese,43.9
2011,Male,80+,Chinese,36.6
2011,Male,Total,Chinese,3333.8
2011,Female,00-04,Chinese,201.2
2011,Female,05-09,Chinese,232.7
2011,Female,10-14,Chinese,254.5
2011,Female,15-19,Chinese,265.6
2011,Female,20-24,Chinese,265.9
2011,Female,25-29,Chinese,264.8
2011,Female,30-34,Chinese,235.7
2011,Female,35-39,Chinese,224.4
2011,Female,40-44,Chinese,229.2
2011,Female,45-49,Chinese,210.9
2011,Female,50-54,Chinese,191.1
2011,Female,55-59,Chinese,162.4
2011,Female,60-64,Chinese,138.6
2011,Female,65-69,Chinese,95.9
2011,Female,70-74,Chinese,73.5
2011,Female,75-79,Chinese,44.4
2011,Female,80+,Chinese,46.4
2011,Female,Total,Chinese,3137.3
2012,Total,00-04,Chinese,407.1
2012,Total,05-09,Chinese,467.1
2012,Total,10-14,Chinese,516.6
2012,Total,15-19,Chinese,542
2012,Total,20-24,Chinese,541.6
2012,Total,25-29,Chinese,536.7
2012,Total,30-34,Chinese,500.2
2012,Total,35-39,Chinese,469.4
2012,Total,40-44,Chinese,464.1
2012,Total,45-49,Chinese,449.8
2012,Total,50-54,Chinese,413.4
2012,Total,55-59,Chinese,352.1
2012,Total,60-64,Chinese,296.8
2012,Total,65-69,Chinese,216.2
2012,Total,70-74,Chinese,155.1
2012,Total,75-79,Chinese,97.3
2012,Total,80+,Chinese,85.1
2012,Total,Total,Chinese,6510.7
2012,Male,00-04,Chinese,211.2
2012,Male,05-09,Chinese,240.9
2012,Male,10-14,Chinese,264.9
2012,Male,15-19,Chinese,279
2012,Male,20-24,Chinese,275.1
2012,Male,25-29,Chinese,270.5
2012,Male,30-34,Chinese,258.2
2012,Male,35-39,Chinese,245.2
2012,Male,40-44,Chinese,235.9
2012,Male,45-49,Chinese,234
2012,Male,50-54,Chinese,219
2012,Male,55-59,Chinese,184.3
2012,Male,60-64,Chinese,154.2
2012,Male,65-69,Chinese,112.5
2012,Male,70-74,Chinese,80.4
2012,Male,75-79,Chinese,48.6
2012,Male,80+,Chinese,38.3
2012,Male,Total,Chinese,3352.2
2012,Female,00-04,Chinese,196
2012,Female,05-09,Chinese,226.3
2012,Female,10-14,Chinese,251.7
2012,Female,15-19,Chinese,263
2012,Female,20-24,Chinese,266.5
2012,Female,25-29,Chinese,266.3
2012,Female,30-34,Chinese,241.9
2012,Female,35-39,Chinese,224.2
2012,Female,40-44,Chinese,228.2
2012,Female,45-49,Chinese,215.7
2012,Female,50-54,Chinese,194.4
2012,Female,55-59,Chinese,167.8
2012,Female,60-64,Chinese,142.6
2012,Female,65-69,Chinese,103.7
2012,Female,70-74,Chinese,74.7
2012,Female,75-79,Chinese,48.7
2012,Female,80+,Chinese,46.8
2012,Female,Total,Chinese,3158.5
2013,Total,00-04,Chinese,401
2013,Total,05-09,Chinese,455.1
2013,Total,10-14,Chinese,510.5
2013,Total,15-19,Chinese,535.1
2013,Total,20-24,Chinese,546.5
2013,Total,25-29,Chinese,536.2
2013,Total,30-34,Chinese,513.5
2013,Total,35-39,Chinese,469.7
2013,Total,40-44,Chinese,463.5
2013,Total,45-49,Chinese,453
2013,Total,50-54,Chinese,420.4
2013,Total,55-59,Chinese,363.3
2013,Total,60-64,Chinese,302.4
2013,Total,65-69,Chinese,232.8
2013,Total,70-74,Chinese,156.5
2013,Total,75-79,Chinese,107.2
2013,Total,80+,Chinese,87.7
2013,Total,Total,Chinese,6554.4
2013,Male,00-04,Chinese,208.5
2013,Male,05-09,Chinese,235
2013,Male,10-14,Chinese,262.4
2013,Male,15-19,Chinese,274.8
2013,Male,20-24,Chinese,278.9
2013,Male,25-29,Chinese,269
2013,Male,30-34,Chinese,263.3
2013,Male,35-39,Chinese,245.4
2013,Male,40-44,Chinese,237.3
2013,Male,45-49,Chinese,232.4
2013,Male,50-54,Chinese,223.3
2013,Male,55-59,Chinese,190.1
2013,Male,60-64,Chinese,156.9
2013,Male,65-69,Chinese,120.4
2013,Male,70-74,Chinese,80.9
2013,Male,75-79,Chinese,53.8
2013,Male,80+,Chinese,40.5
2013,Male,Total,Chinese,3372.7
2013,Female,00-04,Chinese,192.5
2013,Female,05-09,Chinese,220.1
2013,Female,10-14,Chinese,248.2
2013,Female,15-19,Chinese,260.2
